#
#This data represents the results of running the PAGER exposure and loss
#algorithms on the output from ShakeMap.
#
#Notes: "Total" in the country column indicates that the results in that row are
#the sum of exposures/losses for all affected countries.
#
#"predicted_fatalities" and "predicted_dollars" are the results of applying loss
#models to the exposure data - note that these values are not guaranteed to
#match the actual losses from the earthquake.
#
id,location,time,latitude,longitude,depth,magnitude,country,pager_version,mmi1,mmi2,mmi3,mmi4,mmi5,mmi6,mmi7,mmi8,mmi9,mmi10,predicted_fatalities,fatality_sigma,predicted_dollars,dollars_sigma
us60007idc,"123km NNW of Lucea, Jamaica",2020-01-28 19:10:24.918,19.4193,-78.756,14.86,7.7,Total,1,0,18,12698485,9636933,3713813,150398,12,0,0,0,0,2.0,1174503,3853574.0
us70007pa9,"94km ENE of Kuril'sk, Russia",2020-02-13 10:33:44.406,45.6161,148.959,143,7,Total,1,0,0,0,39192,2580,3592,0,0,0,0,0,2.0,1228703,3335982.0
us70008fi4,"221km SSE of Severo-Kuril'sk, Russia",2020-03-25 02:49:21.160,48.9638,157.6955,57.8,7.5,Total,1,0,0,2254,270976,2443,0,0,0,0,0,0,1.0,595,1615.0
us70008jr5,"70km W of Challis, Idaho",2020-03-31 23:52:30.781,44.4646,-115.1175,12.06,6.5,Total,1,0,183438,913582,1022370,70366,841,19,2,0,0,0,1.0,68352,224265.0
us70008z89,"Bonin Islands, Japan region",2020-04-18 08:25:37.052,27.1264,140.1349,453,6.6,Total,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0
us700098qd,"91 km S of Néa Anatolí, Greece",2020-05-02 12:51:05.561,34.1818,25.7101,10,6.5,Total,1,0,0,245368,543953,13599,8837,0,0,0,0,0,2.0,6034,19798.0
us70009b14,Banda Sea,2020-05-06 13:53:55.940,-6.7761,129.7852,96,6.8,Total,1,0,0,0,167845,21216,172,0,0,0,0,0,2.0,1,2.0
us70009f12,"175 km SSE of Lata, Solomon Islands",2020-05-12 22:41:12.177,-12.0665,166.6485,107,6.6,Total,1,0,0,0,28652,3078,830,0,0,0,0,0,2.0,2,5.0
nn00725272,"Monte Cristo Range, NV Earthquake",2020-05-15 11:03:27.176,38.1689,-117.8497,2.7,6.5,Total,1,0,26216,5444204,348626,3889,432,6,0,0,0,0,1.0,4378,14364.0
nn00725272,"Monte Cristo Range, NV Earthquake",2020-05-15 11:03:27.176,38.1689,-117.8497,2.7,6.5,Total,2,854,40133,4080,8,0,0,0,0,0,0,0,1.0,0,2.0
us6000a4yi,"49 km SW of San Pedro de Atacama, Chile",2020-06-03 07:35:36.400,-23.2818,-68.4716,112,6.8,Total,1,0,0,12693,507736,267954,11736,0,0,0,0,0,2.0,3569,11710.0
us6000abcq,"130 km WNW of Naze, Japan",2020-06-13 15:51:24.069,28.8591,128.2713,165,6.6,Total,1,0,0,0,122092,0,0,0,0,0,0,0,1.0,0,1.0
us6000ae4n,south of the Kermadec Islands,2020-06-18 12:49:53.844,-33.2927,-177.8571,10,7.4,Total,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0,2.0
